title,
Jobs: by PI,
parameters,
,
start,end
2019-01-01,2019-12-31
---------,
PI,Number of Jobs Ended
pgoodman,3
stocklab,3
acl,2
avf,2
bethm,2
jandrewshanna,2
leeuw,2
preverdy,2
rwg2,2
tkundu,2
vandoorslaer,2
visteam,2
abmartin,1
aspinwal,1
chertkov,1
chunly,1
ecol346,1
egami,1
gea,1
geodesy,1
holmgren,1
kellingson,1
khalil,1
laurentpagnier,1
limesand,1
ling-582-fall-2019,1
lziurys,1
mhunter,1
mlggaray,1
rmthomps,1
tgb,1
wightman,1
---------,
title,
Jobs: by PI,
parameters,
,
start,end
2019-01-01,2019-12-31
---------,
PI,Number of Jobs Started
mpadi,417915
ruichang,316040
cosmo,272029
rgutenk,183515
benquist,165612
kece,149779
zhuangquntao,123417
bhurwitz,111460
pjessen,108924
default,101377
denard,94891
masel,93385
mtuller,81476
poloczek,56414
evanmaclean,36977
mstrout,36406
kgklein,34086
jrussell,33392
breiger,32190
vpaschal,27980
junmingy,27037
mazumdar,26231
anling,23874
cactophilic,22170
Zabludoff_Group,21214
buelljannuzi,20244
shufang,19516
high_energy,18794
dlemoine,16019
msbarker,15421
dukepauli,14552
asphaug,14478
zeng,13018
sschwartz,11539
akoglu,11245
ludwik,9999
mrieke,9761
zhouq,8848
eknudsen,8804
dienes,8503
staff,6514
behroozi,6132
amainzer,5339
edwardjbedrick,5287
bob,4584
oiz,4575
satheesh,4460
lmcguire,4267
zsz,3891
nlp,3812
hz,3563
mfh,3524
kkratter,3201
rlysecky,3198
judee,3137
granzier,3024
cusanovichlab,2918
faselh,2844
atila,2773
alanger,2753
hjo,2751
jekan,2615
gbesla,2548
xfan,2472
curtisthorne,2362
tgk,2301
msurdeanu,2281
raichlen,2201
hoshin,2164
cosmolike,2132
rc,2073
bashgroup,2061
tbose,1990
meilingw,1937
barman,1928
caos,1923
niug,1865
dmarrone,1857
dpstark,1833
gwp,1810
tgbeatty,1807
fozel,1728
mcgrath,1727
yadegari,1706
kemeny,1663
barberan,1654
yann,1631
nkchen,1534
guven,1530
yinghuichou,1518
krishna,1512
donata,1464
ling-582,1458
birds,1456
dornhaus,1418
kmkshare,1409
yongge,1401
tomasiak,1383
erozo,1301
worobey,1253
goyalr,1212
qinghao,1186
claytonm,1131
tandonr,1125
schlenke,1087
haiquan,1084
mekevans,1066
student,1047
charig,1042
jdpellet,1020
kobourov,1018
ece569,1003
johnson6,996
haozhang,992
robertof,963
orbachmj,954
dcbrown,947
lecondon,918
mcn1,889
jchurko,857
halkateb,823
pajansen,816
liangr,784
pchhsu,782
dlichten,775
cederburg,757
ducea,739
sbyrne,726
wmoore,724
whiteman,721
jzhou,708
ekiser,702
monti,686
ditzler,660
frantzis,657
cmlaukai,629
SAMOS,618
xytang,613
euanmc,609
tswetnam,606
jrmales,600
erdmann,588
ritu,555
hpcteam,533
akielar,529
nfan,518
quasars,512
lroth,511
hanquist,478
cromanoski,470
oscr,468
kobus,453
tgianetti,448
nnp,434
dfz,419
calvin_mathbio,418
ccweinkauf,390
kukolich,388
wolg,380
malhotra,363
arabyan,359
rfleisch,352
adhar,350
adekstrom,337
zhangjw,325
echriste,324
rbinder,323
dpsaltis,313
madenci,313
gondyleroy,308
sanov,298
judith,296
francescavitali,295
kbatai,292
lim,291
CPRL,284
jeisner,266
lega,265
lnagy,262
sjmiller,262
winter,262
pierre,254
mmo,249
hxin,247
vsubbian,247
quantumphotonicapplications,240
hcup,237
yves,237
trouard,235
deeptab,234
tmerritt,230
rmosher,229
jenmc,226
astrorv,219
lansey,212
shaneburgess,200
kevingaffney,190
pd,186
changxuwu,185
krunz,179
tzega,179
vasic,175
honghua,166
rgallery,165
tjyeh,163
brio,160
jneilson,158
tommik,158
montfort,157
fionamcc,156
sarawillis,153
bjoyce3,151
sgralla,150
lisamwhite,148
zhangshu,147
pembertn,144
mculver,142
css19,141
dpscheitrum,140
juren,137
nirav,136
UASAL,133
heidorn,132
mullen,132
neomartinez,127
pa572fall19,117
ericlyons,116
dkp,114
geraldj,110
bosschen,107
gowrisan,101
chiu,98
kraftm,97
jkbrown,96
hutchinsone,95
csc585,94
smissoum,89
melaniebell,87
plan,87
sreynold,87
josh,85
jesst,83
mbeilstein,82
ece677f18,80
armin,78
adhenry,77
hucc,77
ganguly,75
ajrosengren,72
bisr,72
slbeck,72
boguo,70
ptys,70
hammond,69
eis_nielsen,67
sram,67
fluids1,66
tfaily,64
toddtest,59
momayez_rpl,58
myjeon,58
reiners,58
laurameredith,57
gwas,56
cscheid,55
emash,55
lofverstrom,54
fgoodrum,53
kanchukaitis,52
regisf,52
lyzhang,51
yotam,51
yaojan,48
mse551-2019,44
jwjacobs,43
kflessa,43
zhiyudai,42
llama,41
chamilton,40
ua-hlt,40
johannr,38
deymier,36
mxiao,35
manga,33
lemr,31
maykhanna,31
dewsants,30
fungi,30
lamoureu,30
tesaod,30
wiensj,30
manojsar,29
achilli,27
anhughes,27
lcalderin,27
agaspar,26
sanderm,26
mbruck,25
mbhattacharyalab,24
paulcarini,23
brant,22
chrisweber,22
galbrait,20
davidjpmoore,19
hpc,19
icepig,19
rychlik,19
atlorenzo,18
jshockey,18
rwitte,18
serena00,18
agalvao,17
tosiron,17
wboynton,17
mbsulli,16
poirierd,16
decelles,15
pkapp,14
klprudic,13
bilgin,12
dontsova,12
jkidd,12
kdlugosch,12
lin1,12
behrangi,11
michod,11
rwing,11
cholik,10
cihantunc,10
oge,10
guangyao,8
jvm2,8
klaksari,8
kohlers,8
molab,8
bparent,7
jiahu,7
baker,6
dlebauer,6
duey,6
wensx,6
chichengz,5
ffrasche,5
genomeanalytics,5
dshyshlov,4
ktmorz,4
systems,4
uasal-undergrads,4
whitake1,4
yelle,4
amcewen,3
apil,3
barnesca,3
bh_class,3
cibs,3
ckpark,3
dglicken,3
ferng,3
haldar,3
jqcheng,3
pgoodman,3
stocklab,3
acl,2
avf,2
bethm,2
jandrewshanna,2
leeuw,2
preverdy,2
rwg2,2
tkundu,2
vandoorslaer,2
visteam,2
abmartin,1
aspinwal,1
chertkov,1
chunly,1
ecol346,1
egami,1
gea,1
geodesy,1
holmgren,1
kellingson,1
khalil,1
laurentpagnier,1
limesand,1
ling-582-fall-2019,1
lziurys,1
mhunter,1
mlggaray,1
rmthomps,1
tgb,1
wightman,1
---------,
title,
Jobs: by PI,
parameters,
,
start,end
2019-01-01,2019-12-31
---------,
PI,Number of Jobs Submitted
mpadi,417915
ruichang,314522
cosmo,272029
rgutenk,183366
benquist,165611
kece,146296
zhuangquntao,123417
bhurwitz,111445
pjessen,108504
default,100874
masel,93176
denard,90475
mtuller,81460
poloczek,56414
evanmaclean,36977
mstrout,36403
kgklein,33993
jrussell,33337
breiger,32057
vpaschal,27934
junmingy,27037
mazumdar,26138
anling,23767
cactophilic,22156
Zabludoff_Group,21163
buelljannuzi,20244
shufang,19478
high_energy,18794
dlemoine,15792
msbarker,15359
dukepauli,14552
asphaug,14148
zeng,12972
sschwartz,11534
akoglu,11216
mrieke,9761
ludwik,8923
eknudsen,8804
zhouq,8735
